時間,コメント,
4705.171,うま,
4705.822,がんばれ！！,
4707.213,ナイス,
4707.714,いけー,
4708.333,ないす,
4708.572,うお！？,
4708.768,うっま,
4708.773,ないす！！,
4709.041,ナイスゥ！,
4709.354,うま,
4709.531,つっよ,
4709.583,うま！！,
4709.856,ナイス,
4709.984,うまい,
4710.037,ナイス,
4710.154,ナイス,
4710.725,うま！！ないす！！,
4710.793,ナイス！,
4710.887,うま,
4711.135,うっっっっま,
4711.328,うま,
4711.45,うま！！,
4711.701,ACEくるか！る,
4711.697,ナイス,
4711.805,うま,
4711.939,ナイス！,
4712.304,ないすー！！！,
4712.279,ないす,
4712.31,ないす,
4712.399,ないす！,
4712.436,うまい,
4712.569,お？,
4712.908,わあ,
4712.987,ナイス,
4713.2,ナイス,
4713.471,びったびた,
4714.074,ないす,
4714.393,ace iku?,
4714.393,やっちまえ,
4716.004,うま,
4716.544,うっま,
4717.034,うま,
4718.301,ナイスゥ,
4718.453,ないすないす,
4718.872,ナイス！,
4718.967,ナイス！,
4719.112,Ace??,
4719.572,エイムきれーい！！,
4719.719,エース頑張れ！,
4720.308,ナイスうま,
4720.739,ACE,
4720.86,ここ勝ってほしいわ,
4721.107,ACEike!,
4721.346,エースいけ！,
4722.739,エース？,
4723.113,ナイス,
4724.579,エースいけ葛葉,
4726.484,aceいけ！！！,
4727.903,ヨルACE！？,
4729.916,しゃ,
4731.646,ないす,
4732.045,oshii,
4733.004,ナイス！！,
4733.169,どま,
4734.162,nicee,
4734.258,ないすうううううう,
4734.17,ないすううううう,
4735.351,おしい,
4735.566,ナイスー！！,
4735.602,ナイスゥ！！！,
4735.66,ナイスゥ！！！,
4735.882,どま,
4735.924,ないす！！,
4735.963,ナイスゥ！,
4735.946,ナイスゥ！,
4736.143,ナイス！！,
4736.491,ナイス！！！！！！,
4736.56,ナイス！,
4736.62,ナイス！！,
4736.841,ナイスゥ,
4736.929,ないす！！！,
4737.048,ぐわあ,
4737.127,ナイスゥ！,
4737.301,ないすー！！！！,
4737.301,ナイス！,
4737.421,ないすううう！！,
4737.415,ないす！,
4737.499,ナイスゥ！！,
4737.504,ないすー！,
4737.507,ないす！,
4737.691,ないす～！￥,
4737.776,ないす,
4737.821,ナイスゥ！！,
4737.908,ないすう,
4737.934,ないす！！！,
4737.967,ナイスゥ！,
4737.992,ないす,
4737.962,ないすぅ！,
4737.975,ナイス！！,
4737.996,ナイスゥ！,
4738.065,ないす！,
4738.079,ナイス〜！,
4738.261,ベベンボビン,
4738.265,ナイスー！！,
4738.255,ナイス！,
4738.33,ないすー！,
4738.321,ないす！,
4738.369,ナイスゥ,
4738.377,ナイスゥ,
4738.388,なーーーーいす！！！！！,
4738.427,なーいす！！,
4738.606,ナイスゥ！,
4738.76,ナイスゥ～！,
4738.74,ナイスゥ！,
4738.903,ナイス,
4738.953,ないす！！！！,
4739.038,ナイス！！,
4739.345,ナイス,
4739.432,なーいす！,
4739.403,なーいす!!!!,
4739.508,ないす,
4739.571,ナイス,
4739.738,ナイス,
4739.893,ないすー！！,
4739.876,ないすー！,
4739.894,niceeee,
4739.925,ナイスゥ！,
4740.081,ナイス！！,
4740.16,ないす！,
4740.259,ナイス！！！！！,
4740.317,ないすー！！,
4740.285,ナイス〜,
4740.447,ナイスゥ！！！,
4740.451,ナイス〜!!!!,
4740.584,ナイス！！,
4740.598,ナイスゥ！！！！！,
4740.775,ないすだよー！！！,
4741.525,ナイス！,
4741.813,ナイス,
4741.923,ナイス！！！！！！！！,
4741.932,ナイスゥ！,
4742.042,ないす！,
4742.071,ナイス,
4742.536,ナイスゥ！,
4744.448,ナイスゥ！,
4744.632,ｗｗ,
4745.113,ないす！,
4745.109,ないすーー！！,
4746.003,ナイス！！,
4746.044,とてもえらい,
4746.169,偉い！,
4746.373,ナイスゥ！,
4746.551,ナイス,
4746.538,してたねｗ,
4747.235,ないすぅ！！,
4747.817,葛葉すご,
4748.082,ナイスゥ！！,
4748.327,よくがんばった！！！！,
4748.648,ないす！！,
4748.747,ナイス！,
4750.191,ナイスー！,
4751.352,すごかったねw,
4751.285,ナイス！！,
4751.716,ナイスゥナイスゥ,
4751.893,いいねいいね,
4751.956,強い強い！,
4752.544,ナイス！,
4753.341,w,
4754.074,ほんとだｗ,
4754.188,ないすぅ～！！！！！,
4754.121,マイケル・ジャクソンもおります,
4754.405,ママがつよい,
4754.818,いけいけでごー！,
4755.326,ナイス,
4756.092,ずはさーん,
4757.407,きゅぴちゃん偉すぎ,
4757.399,きゅぴちゃん気合いのリコイル最高や,
4757.6,最近流行りの浮いた感じの歩き方,
4757.88,まじ落ち着いてたよ〜ナイス〜,
4758.263,エペやってただけあってトラッキングがナイスだ,
4759.193,ナイスキルだよ~！,
4760.322,最初の当たりの時か,
4760.324,ほんとだｗ,
4760.613,いいじゃん,
4761.585,いいよ,
4762.735,ヒバレイズうめぇな,
4763.156,チームの力や,
4764.909,守りとれてるのすご,
4765.028,ラプ様ナイス,
4765.142,葛葉かっこよ,
4766.174,みんなの削りが,
4766.334,かっこよすぎるよ、あんた,
4766.483,最初当たった時のかな,
4766.773,削り職人ありがとう,
4768.133,葛葉いいよいいよ,
4768.499,接戦で面白いねぇ,
4768.631,がんばれ！！！！*\(^o^)/*,
4768.901,めっちゃいいよ～！強いよ～！,
4768.934,本当にがんばれー！！！,
4772.086,昨日からのこれはマジですごいぞ！！,
4772.746,すごい！,
4772.905,勝とう！！！,
4773.524,ナイスだよ〜,
4774.664,ごーごーでごー,
4774.868,らぷちゃんｗ,
4776.257,きゅぴの安心感,
4778.953,警戒するっしょｗ,
4780.521,スリップバックなw,
4781.37,チームナイス！,
4781.83,スクリムでこのチームに土をつけられればでかいな,
4781.979,きゅぴちゃんうまいな,
4783.102,本当にカッコよすぎる,
4783.087,がんばれ！,
4783.66,頑張れ！,
4783.693,ラプ様強気でいいな,
4784.432,アーマー買ってないのかな？,
4785.722,ｗｗ,
4786.267,なのに,
4787.26,判断はやっ,
4788.728,とるんだよね,
4789.321,貪欲ｗ,
4789.481,ｗｗ,
4790.32,いたｗ,
4790.846,みんなで勝ってるね,
4790.982,良い感じ！,
4793.573,ないすおーぶ,
4794.167,反応あるのにとって草,
4794.363,なのにとるなｗｗｗ,
4795.619,葛葉さんかっこええ,
4796.185,勝てる！,
4796.448,がんばれ！,
4796.692,取るんだよねw,
4800.437,ウルトが刺さってないだけで刺さればもっと余裕,
4801.211,おおおお,
4809.653,いくぞいくぞ,
4810.895,うおおお,
4811.077,ナイスゥ,
4811.11,ないす,
4813.148,フッカおった,
4813.899,草,
4814.174,うわあ,
4814.294,んわぁ,
4816.06,つぇ,
4818.302,やばいそれは,
4818.634,うわあ,
4818.605,えぐ,
4819.288,どま,
4819.413,つーよいな,
4819.344,うわあ,
4819.81,まだいたかー,
4820.35,どま,
4820.721,どま,
4820.765,えらいなｗ,
4820.918,どま,
4821.188,ロレお前,
4821.839,対応してきてるな,
4821.81,どま,
4821.863,わあ,
4822.035,大惨事w,
4822.275,どま,
4822.469,ロレおるんか,
4822.626,わああ,
4823.301,うわー！,
4823.44,どんまい！,
4823.89,寄られたなー,
4824.261,ローレンかくれんぼうまいね,
4824.336,ロレンきっ...,
4824.416,えぐいな今の,
4824.633,そこいんのか,
4824.849,うわ,
4826.279,ローレンうめーw,
4826.413,どま,
4826.888,えっぐい,
4827.053,iro4sさんもフィジなんだよね,
4827.316,いろ4sさん,
4827.536,いろはすえぐいて,
4827.624,甘いね,
4827.887,ロレつよ,
4827.993,どま,
4828.216,どま,
4828.63,ロレやるな,
4829.15,釣られた,
4829.438,それは読めんなあ,
4829.6,おしい,
4829.776,どまです,
4829.772,これはすごい,
4830.03,待てるんだなあ今の,
4830.523,ろれえっぎぃ,
4830.644,仲間を囮にしやがった,
4831.292,ロレお前…,
4831.603,頑張れ,
4831.938,まだいるか,
4832.206,大惨事すぎた,
4833.096,えええつよ,
4833.375,うめえんだ,
4833.512,ローレン,
4833.72,さすがに咎めてきたw,
4833.737,渋るのもったいないか,
4834.386,これはどま,
4834.432,のせさんベイトにされて草,
4834.776,ろれー！！！,
4835.327,ショートクリアリングしてないもんな,
4835.595,これ本番にしないか？,
4835.844,ろれやばあ,
4835.86,ふっかにおったんやろなあ,
4836.102,さすが,
4837.722,うーんロレ強いねw,
4837.894,さすがだ,
4838.016,どま,
4838.129,もう対応するのか。,
4838.646,これはまぁ事故みたいなもんってことで,
4839.035,学びか,
4839.122,今のもしゃーなしや,
4840.029,さすがロレ,
4841.995,噛み合いやったなぁ,
4842.016,どまどま,
4842.33,ローレンきもいまである,
4842.309,ベイトだったかー,
4842.431,迷うと負けるなぁ,
4843.994,クリア甘かった？,
4844.09,それおるよなー,
4844.323,うめえ,
4844.538,どんまい,
4845.707,女をおとりに使う男,
4846.444,今のはクリアやねぇどま,
4846.745,待つのがえらい,
4847.892,ロレえぎーですわ,
4848.192,遅らせて出てくるのうまいな,
4848.389,ロレうんめぇ,
4848.764,釣りにきてたな,
4849.159,ちょっと甘えてるね,
4849.85,悔しすぎる,
4850.369,誘導されてるようなね,
4850.764,事故った,
4851.858,きゅぴさんえらいな,
4852.237,ろれ時間差すきよね,
4852.886,のせベイト,
4852.898,大丈夫まだ負けてない,
4854.381,もったいなかったな,
4855.59,どまどま,
4855.909,立ち回りうまいなぁ,
4856.079,今のは一人だと思うわ,
4856.505,キモいな（褒めてる）,
4857.053,本番釣られなきゃおけ,
4861.142,学びや,
4863.741,ちょっと56しにいくわって感じやなロレさん,
4864.383,nt,
4865.24,nt,
4865.489,nt！,
4865.738,nt,
4866.128,ナイスゥ！,
4866.62,nt,
4866.725,nt,
4866.715,nt,
4867.055,どま,
4867.069,んt,
4867.468,nt,
4867.564,ないとら,
4867.57,nt,
4868.005,nt,
4868.084,nt,
4868.175,nt,
4868.158,ntnt,
4868.217,nt,
4868.315,nt,
4868.549,nt,
4868.729,どま,
4868.731,nt,
4868.821,nt,
4869.454,nt,
4869.582,おしいおしい,
4869.796,NT,
4869.866,nt,
4870.094,どま,
4870.064,nt,
4870.109,nt,
4870.59,惜しかった！,
4871.034,nt,
4871.774,おしいーーー,
4871.783,nt,
4871.947,nt,
4872.08,nt,
4872.316,どま,
4872.353,おしー,
4872.381,どまどま！！,
4872.532,これは上手く誘導されたー,
4873.249,nt,
4873.802,良い勝負や,
4873.984,おしい,
4874.021,おしい!,
4874.088,nt,
4874.628,nt,
4875.682,NT!,
4876.162,nt,
4876.225,nt,
4876.332,nt,
4877.486,nt,
4877.943,nt,
4878.129,nt,
4878.216,ないとら,
4878.38,nt,
4880.076,nt,
4880.559,おしいよ,
4881.143,熱い試合,
4881.256,ないとら,
4881.771,ろれつえ〜,
4881.916,たしかに,
4882.975,いい勝負だー！がんばれ！！,
4884.459,釣られたか,
4886.495,これは直せるから大丈夫,
4886.74,いい試合だな～,
4887.797,どま,
4888.515,nt,
4889.255,いい勝負だなぁ,
4890.021,がんばれー,
4890.876,まじでいい試合じゃん,
4891.18,わるくないよー！,
4891.27,逆にエコになってしまった,
4892.119,接戦だ,
4892.624,がんばれ,
4896.267,いいね！,
4897.291,なかなか勝ち越しさせてくれないね,
4897.719,ない,
4897.961,どんまい！,
4898.163,がんばれ〜〜！,
4898.317,いい勝負やぁ,
4900.148,学び学び！,
4900.924,これはロレがきっ...だった やるわねあの子,
4901.414,勝てるよー,
4902.343,がんばれ！,
4902.864,がんばれー！,
4903.184,女を囮に使って殺戮する男それがローレン(),
4903.502,学べてるぞー,
4903.655,頑張れティーム,
4904.22,ディスティニーウルトくる？,
4906.658,でたｗ,
4907.113,ロレまるでアサシンやん,
4911.422,がんばれ～！,
4913.01,いいねがんばえ～！,
4913.053,初構成たっぷり練習できておいしい,
4913.27,ここまで来たら勝っちまおうもう,
4915.505,頑張れ〜,
4917.806,あれだけボロボロだったバインドでこんなにいい勝負ができるようになるなんて,
4919.978,ふぁいと！,
4921.497,くらいつけー！,
4924.878,頑張れー,
4927.187,接戦なだけで泣きそうガチ強いよ,
4927.328,ここまで戦えてる時点ですげえわ,
4928.789,がんばれ！,
4929.568,ウルトで偶然のキスのやつ,
4929.876,マジでいい勝負だから全然勝てるよ,
4934.2,初構成だったそういうば,
4934.569,がんばれ,
4935.975,屈しない！れちご！,
4937.038,ここのマップって守りのが強い感じですか？,
4938.316,あっちが対応してくる分さらに練習できるな,
4938.945,俺がやる！,
4939.497,ウルトショーティワンチャン,
4940.866,良い学びのラウンドだった！,
4942.341,ナイスゥ！！！,
4944.509,俺がやる,
4948.699,弱くても強くても荒れる男それがローレン,
4951.683,わあ,
4952.12,！？,
4952.504,あらｗ,
4953.311,おしい,
4955.882,わぁ〜,
4957.811,！？,
4959.706,ナイス,
4959.887,どまどま,
4960.058,え？,
4960.356,ちょっとおもろい,
4961.081,頑張れ選手,
4963.032,追い込み漁w,
4964.049,いい索敵や,
4964.632,出るタイミング合わんなw,
4965.159,いつのまに,
4965.956,ごー、,
4968.763,俺がやる,
4973.798,まだ4対4や,
4975.098,ギリギリ解除されたか,
4975.266,頑張れみんな！,
4981.77,スカイとれたのはでかい,
4982.638,今ゲージ残ってるのに判定出んかったか,
4987.045,nt,
4987.622,フラッシュの時みんな出れれば,
4988.424,nt,
4989.357,nt,
4989.46,んｔ,
4989.797,どまどま！,
4990.241,どまです,
4990.339,nt,
4990.467,nt,
4990.616,ntnt,
4991.007,nt,
4991.42,nt,
4991.876,nt,
4992.172,nt,
4992.262,nt,
4992.516,nt,
4992.628,nt,
4992.699,ないとら,
4992.78,nt,
4992.814,nt,
4992.984,nt,
4993.148,んt,
4993.24,nt,
4993.403,nt,
4993.508,nt,
4993.634,nt,
4993.733,nt,
4993.745,nt,
4993.8,nt,
4993.812,nt,
4993.826,ないとら,
4993.883,nt！,
4994.009,nt,
4994.277,nt,
4994.352,nt,
4994.415,nt,
4995.096,ないとら,
4995.374,ないえこ～,
4996.517,nt,
4996.694,nt,
4997.962,どま,
4998.253,nt,
4998.289,nt,
4998.537,nt,
4999.287,いいぞー,
5000.475,ないとらー,
5000.521,nt,
5000.652,nt,
5001.233,nt,
5001.453,nt,
5001.796,いいねー,
5001.926,どま,
5002.012,ないとら!,
5003.027,どんまーい！！！いいぞー！！！,
5003.093,nt,
5003.279,どま,
5003.438,ローレンスコアえぐいな,
5003.774,nt,
5003.891,nt!,
5005.503,10-11すげえぞ,
5006.024,nt,
5006.661,がんばれー！！！,
5006.925,nt,
5007.059,nt,
5007.682,ないとら！！,
5008.441,nt,
5008.924,nt,
5009.036,いい勝負できてる,
5009.396,バリバリー！！,
5010.208,頑張れ,
5011.708,んt,
5012.169,頑張れ〜,
5013.824,がんばれがんばれ,
5014.115,いけるいける,
5016.459,ヨルのウルト強化もっとくれませんか？？,
5016.509,いけいけ！！,
5016.73,がんばれ！,
5016.743,がんばれ！,
5016.886,とんにい楽しそうやな,
5016.952,頑張れ！,
5019.05,バリバリ勝負っす,
5019.115,踏ん張りどころだ！,
5019.98,がんばれ〜！！,
5020.156,バリバリ勝負！！,
5021.023,がんばれぇ,
5022.287,勝負！,
5023.034,がんばれー！,
5023.156,いや、行くなら行こう勝負,
5024.041,頑張れ,
5025.272,ばりばりしょーぶだ,
5025.949,頑張れ！,
5026.527,神速こーるいいぞー,
5027.212,がんばれー！！,
5027.428,いい勝負やがんばれ！！,
5027.734,がんばれ〜！,
5028.934,良い勝負よ,
5030.342,設置前にやりきりたいね,
5030.454,がんばれー！,
5030.509,がんばれ,
5031.02,がんばりがんばり！！！,
5032.479,いい勝負だ、見てて楽しい,
5032.569,がんばれ！,
5034.825,がんばれ～！,
5035.876,あら,
5038.445,ないわん,
5038.687,こるちもう黙ってあげた方がいいと思うけどなー,
5040.144,頑張れー,
5040.65,ナイス,
5040.67,ふぁいとー,
5042.429,ナイス,
5042.609,ナイスだ,
5043.303,ないすー！,
5043.86,ナイスゥ,
5043.976,ないす,
5044.198,撃ち合いは負けてないけどそこまでいけてない感がもどかしい,
5044.251,うおお,
5044.699,つよ,
5045.763,ないすう,
5046.052,ナイス,
5046.076,ナイス,
5046.241,ナイスゥ,
5046.345,ないす！,
5046.378,ないす,
5046.448,ないすう,
5047.086,ナイス！,
5047.032,ないわん！,
5047.669,ないす,
5048.118,ナイス,
5048.104,ナイスゥ,
5048.267,ナイスゥ！,
5048.374,ないす,
5048.458,うま,
5048.544,ないす！,
5048.633,nice shot,
5048.704,ナイス,
5048.79,ナイスゥ！,
5048.972,ないす,
5049.516,ないす,
5050.492,うまい!,
5051.411,ナイス！,
5051.734,ないす！,
5052.288,ナイス,
5052.834,うっま,
5053.173,ナイス,
5053.277,ナイス！,
5053.857,うっまい,
5053.926,ナイス！！,
5054.959,いける,
5058.392,ヨルは基本スキル組み合わせるから、ウルト使ったらもうオールアウトしないと無理なんよ,
5061.337,おしい！,
5061.869,うんめ,
5062.547,おしい,
5062.89,おしいい,
5062.906,かー,
5065.271,いけ,
5066.047,どま！,
5069.074,どま,
5069.246,がんばらー！,
5070.834,おしい,
5071.376,おし,
5071.516,でこいｗ,
5071.852,惜しい,
5072.239,どまどま,
5072.679,あっちゃ,
5073.999,草,
5073.975,おしい〜,
5076.321,せーのででろって言われたでしょ,
5076.352,おしい,
5076.456,どま,
5077.603,どまよ,
5078.336,どこに,
5078.62,おしいなあ,
5080.021,どんまい,
5080.237,死んでも残ってんだw,
5081.874,いけよる！,
5082.262,ｗｗ,
5082.299,ないす,
5083.998,ナイス！,
5084.675,ナイス！！,
5084.792,激アツ,
5085.563,ナイスゥ！,
5086.076,でこいふぁい！,
5086.426,ナイスー！！,
5086.44,うおおおおおお！！！,
5086.456,うまい,
5086.604,ナイスゥ！！！,
5087.128,ないす！！,
5087.401,ナイスゥ,
5087.485,うめ,
5087.718,ないすうう,
5088.11,つんよ,
5088.138,ないす！！,
5088.369,ナイスゥ！,
5088.37,ないすー！！,
5088.421,ナイスゥ！,
5088.672,ナイスゥ,
5088.689,うおおおお,
5088.687,ないすうう,
5088.727,ナイス！,
5088.878,ナイスゥ！,
5088.907,ナイス！,
5088.986,ないすーーー！！！！,
5089.189,ないす！！！,
5089.292,ないす！！！,
5089.443,一人一人当たっちゃうの勿体ないな,
5089.445,ええええないすううううう,
5089.45,わー,
5089.657,うおおおおおおお,
5089.629,ナイス！,
5089.757,ないすぅ！,
5089.843,ナイスゥ,
5089.845,おおおおおお,
5090.022,ナイスー！！！うまい！！！！,
5090.085,ナイス！,
5090.176,ないすー！！！,
5090.251,ナイス！,
5090.397,ナイスー！,
5090.456,ナイス！,
5090.654,ナイス！！！！,
5090.928,うまあああああ,
5091.317,ナイスゥ！！！！,
5091.44,ナイス！,
5091.427,ナイス！,
5091.527,ナイスゥ！,
5091.911,ないす,
5092.01,うおおおおおおおおおおお,
5092.015,ナイス～！！,
5092.047,ナイスー！！！！！,
5092.088,ナイス,
5092.06,でっけえ！,
5092.192,ナイス,
5092.229,リーダー！！！！！,
5092.508,ないすー！！,
5092.536,ナイス！,
5092.553,ナイス！,
5092.671,ないすうううう！！,
5092.767,ナイス！,
5092.975,ないす！！！！！！！！！,
5093.413,なーーわいとぅ！！,
5093.723,でっか,
5093.924,ナイスゥ！！,
5094.153,うんま,
5094.348,ナイス,
5094.478,リーダーーーーーーー,
5096.445,ナイス！！,
5096.878,ナイスゥ,
5098.095,ないすううう,
5098.373,それ報告しないといかんやろ,
5098.69,ナイス,
5100.028,いけいけいけいけ,
5100.212,ナイスゥ〜！,
5100.63,ボム報告なかったくね？,
5101.255,なぁぁぁぁぁぁぁぁぁぁ,
5102.439,言ってくれｗ,
5102.548,ナァイス,
5102.843,ナイス！,
5103.281,ないす,
5103.294,ナイス水無瀬！,
5103.348,水無瀬うま！,
5103.574,良い試合すぎるな,
5104.616,ナイス,
5104.883,いい勝負,
5106.195,リーダー！！ないすー！！,
5106.359,いいぞー！,
5106.481,ボムあるのかよ,
5106.804,それはほんとに言ってくれw,
5107.006,言ってたかな？,
5107.085,勝ったならええか,
5108.388,勝てば良し！！！！,
5108.976,ここ勝負所だな,
5109.145,いい試合だー！がんばれ！,
5109.707,あちーな,
5110.056,うっひょー、つよつよ,
5110.247,ﾘｰﾀﾞｰ,
5110.301,葛葉と水無瀬氏のコンビよきやな,
5110.46,ばーい！！,
5111.113,聞こえてないわ,
5111.188,水無瀬さんナイス,
5112.116,ボム落ちたは言ってたけど混雑してたからね仕方なし,
5112.659,勝ちゃええねん,
5112.705,いや、言ってなかったね,
5113.164,水無瀬なんですよ,
5113.285,おもしろい勝負してるねー！,
5113.656,いいねぇ！,
5114,いけいけ,
5114.646,水無瀬ぇ；；；；,
5114.696,ナイス〜,
5115.333,あっちい,
5115.344,いい戦いしてる,
5116.068,勝てばええんや,
5116.238,取りたいねー,
5116.255,ボムあったんか,
5116.362,激アツ,
5116.539,きついってこと,
5117.994,やっぱりフィジカル,
5118.301,ファイト勝負や,
5121.916,まあまあまあ,
5122.634,良い勝負や,
5124.093,がんばれ～！,
5124.278,次はいえるはす！,
5125.186,運命ラウンド,
5125.809,言ってたで,
5125.886,いい試合,
5126.734,勝てたからよしよ,
5126.816,強いよー,
5126.828,インキャなのにどうすればかぜげますか？,
5127.07,言ってはなかったw,
5127.143,ボムあるは100回言うべき事案,
5127.181,報告されてないね,
5127.265,ファイト！,
5129.518,がんばえがんばえー！！,
5130.149,ひりつくー！、,
5130.592,リーダーらしい勝利,
5131.606,フィジ負けてないぞ,
5131.775,ふぁいてぃーん!,
5132.511,かちゃええ,
5132.708,いい試合や,
5139.824,がんばれー,
5139.971,次から報連相できるとええな,
5140.554,頑張れチーム,
5141.778,ウルトコール無いのが不安,
5144.092,水無瀬さん明らかに声掛け多くなってるもんね,
5146.195,ｗｗ,
5152.59,勝ったからよし！！,
5153.673,ただのかるび,
5155.865,目も何もないw,
5157.497,棺桶w,
5160.173,勝ちてー！がんばって！！！,
5162.544,うおお,
5163.19,葛葉と水無瀬くん、背中合わせで戦ってる感じがいいわ,
5163.27,よしよし,
5165.208,水無瀬を攻めないで;;,
5167.089,なぁいす！,
5167.296,ナイス,
5168.167,ナイス,
5169.212,おしいい,
5169.36,うめえ,
5170.113,ないす！,
5170.318,おしい,
5170.932,どま,
5170.964,おっし,
5171.175,くぅ,
5171.358,おし,
5171.577,ナイス！,
5171.65,おしいい,
5171.726,おしい,
5172.042,挟まれたw,
5172.385,おしい,
5172.461,うまいな,
5173.072,おし,
5173.161,ないわん,
5173.331,挟まれた,
5173.826,おしい！,
5173.936,おしい〜,
5174.195,どま,
5174.369,いやもう今のは一枚落としただけ仕事した,
5174.37,おしいい,
5174.995,おしい,
5175.44,おしい,
5175.666,どまどま,
5175.937,おしい,
5176.139,どま,
5177.273,いい出方するな敵,
5177.743,ナイス,
5177.721,どま,
5177.965,マジで合せのレベル高いな,
5178.37,おしー！,
5178.838,おしいなあ,
5178.97,今のはキツい頑張った,
5179.153,いいカバー入った,
5179.153,めちゃくちゃいい勝負,
5179.661,カバーうま,
5179.941,どま,
5180.249,ナイス！おしい！,
5180.394,どま,
5180.473,まだいける,
5180.586,うますぎる,
5180.95,しゃーないよ今のは,
5181.574,おしいおしい,
5181.558,どまー！,
5181.886,おしい,
5182.217,おしいどま,
5182.261,しゃあない挟まれてたし。一枚落としたの偉すぎ,
5182.477,おっしい！,
5182.678,よめてたね！,
5183.474,どま,
5185.078,おしいっす！！,
5185.15,おっし,
5187.747,一枚持ってたの偉い,
5187.915,ワンチャンあった,
5189.076,1枚ナイスや,
5189.378,うるーはのカバーすごい,
5191.608,どまー！,
5192.442,全員裏か,
5195.946,いやナイス,
5196.468,連携力もえぐいな,
5197.642,どま,
5199.043,うめぇ,
5200.218,よくもってった,
5200.83,ふむふむ,
5200.985,交換でけぇ,
5202.305,相手合わせうまいな,
5203.19,がんばれ！！！いけるぞ！！,
5204.313,鱗滝さんもブチ切れ,
5204.567,大丈夫,
5205.475,ＴＰ対策されてたねー,
5205.992,なんとかなれ！！！,
5206.917,挟まれるとめちゃ怖い,
5207.88,うおおおお,
5207.896,ないす！,
5208.715,え！？めっちゃ良い勝負してる！！すご,
5209.158,ナイス,
5209.513,ないす！,
5209.528,相手は同時カバーの徹底がえぐい,
5209.564,1枚持っていけたのでかいよ,
5209.778,ナイス,
5209.835,ないうｓ,
5210.302,ナイスナイス,
5210.657,ないすー,
5211.192,ないすー,
5211.927,ナイスううう,
5212.647,ないす,
5212.819,ナイス！,
5213.192,ナイス,
5213.482,がんばれティーム,
5213.593,ないすー！,
5214.247,相手一緒に出てくるのうまいよね,
5215.862,ないす！,
5216.558,ナイス！,
5216.577,うまい!,
5218.595,NT,
5219.153,おしい！,
5219.389,nt,
5219.398,nt,
5219.469,nt,
5220.203,んｔ,
5220.453,nt,
5220.52,ntnt,
5220.574,nt,
5220.585,nt,
5220.627,おしい,
5220.63,おしー,
5220.669,おしい,
5220.819,おし,
5220.858,nt,
5220.875,nt,
5221.295,おしい,
5221.377,nt,
5221.433,おしい,
5221.465,おしーーないとら,
5221.469,んｔ,
5221.695,おしい！,
5221.706,おしいい,
5221.882,nt,
5221.88,nt,
5222.017,nt,
5222.054,nt,
5222.273,nt,
5222.314,おしーー,
5222.319,おしい,
5222.366,ないとら,
5222.389,nt,
5222.477,nt,
5222.577,おしい！,
5222.773,おしいおしい,
5223.079,nt,
5223.71,おしいおしい,
5223.964,nt,
5224.504,nt,
5225.109,おっしいいい,
5225.681,nt,
5226.41,どま,
5227.379,おしいnt,
5227.571,まだあるよまだある,
5227.575,nt,
5227.947,nt,
5228.83,おしいー,
5229.047,nt,
5229.387,おしい,
5229.503,nt,
5229.876,nt,
5229.919,おしー,
5230.013,ntnt,
5230.24,流石にか,
5230.366,おし,
5230.916,おしいぞ！！,
5231.205,nt,
5232.004,おしいね,
5233.377,nt,
5233.601,ない削,
5233.64,でもシャンクス…金が！,
5234.117,まだある,
5234.648,カバーはぇぇな相手,
5235.131,サドンデスいきたい,
5235.604,nt nt,
5235.617,まだ勝負！,
5236.072,OT,
5237.372,いけるぞー,
5237.838,擦りすぎたか,
5237.854,どま,
5238.457,金ﾈｲｰ,
5238.842,がんばーれ！,
5239.439,がんばれがんばれー！,
5240.02,nt,
5240.35,がんばれ〜！！,
5241.158,ふぁいてぃん！！！,
5241.183,B擦りすぎたか,
5241.529,ほう！,
5241.546,がんばれ！,
5241.687,nt,
5242.119,いけるいける！！楽しんでみんな！！,
5243.161,まだあるよー,
5244.339,いけるいける,
5245.581,エコ取るぞー！！,
5245.802,ウルト溜めろおおおｗ,
5246.145,いけーー！！！いけいけー！！,
5246.593,otいくぞおおおおおおお,
5249.197,オーバータイム行こう,
5249.471,OT,
5250.473,頑張れー！！,
5252.31,やったれー,
5252.51,破壊するか,
5252.903,OTいくぞ,
5253.001,がんばがんばー！！,
5253.554,バインド行けてんのすごいぞ,
5255.165,きったあああｗ,
5255.245,がんばれー！,
5255.373,がんばれー,
5255.569,やれんの？w,
5255.84,頑張れ！,
5256.491,頑張れー,
5256.527,がんばれ！,
5256.593,がんばれ〜〜！！！,
5257.287,頑張れ！,
5258.249,がんばれー！,
5258.589,いいねー,
5259.38,いけええええ,
5259.642,賭けｄｓ,
5260.173,やれ！！,
5260.332,がっこりいこう,
5263.943,ここもぎ取りたい,
5264.988,行ったれ！やったれ！,
5265.522,がんばれー,
5268.702,ｗｗ,
5269.067,お前がやれ！！,
5269.946,頑張れー,
5270.018,ｗｗ,
5270.399,お前がやるんだ,
5270.975,がんばれー,
5271.428,ｗｗ,
5271.47,めっちゃおるｗｗｗ,
5272.901,w,
5273.169,頑張れ！,
5273.677,草,
5274.834,ｗｗ,
5275.074,待ってるｗｗ,
5275.094,ｗ,
5275.29,めっちゃいるw,
5275.31,うわ～,
5275.834,えらいなぁ,
