時間,コメント,
112.065,頑張って,
112.94,もう始まってて草ァ！１,
113.014,ロレチームと出来てラッキーやな,
113.358,がんばれ！！！,
115.121,ないすぅぅうううううう,
115.4,えっっっおぉ！！,
119.033,ナイス,
119.586,対よろ,
120.105,ないす,
121.037,がんばれ！,
121.951,ロレやりマ,
124.487,対よろ,
124.763,こんばんわー　,
127.412,報告いいね！,
130.372,がんばれ〜,
134.719,ナイス,
134.878,連携めちゃ良くなってる,
134.938,ナイカバ,
135.71,サムネめちゃ良いやん,
135.899,がんばれー！,
136.005,たいよろ,
136.264,ナイスカバー！！！,
137.175,いいよ,
137.993,わお,
138.54,ないかば！,
140.134,ないす,
141.638,ワンキルごとに自信つけてこ～,
142.692,ナイスカバー,
142.817,ナイスカバー,
143.196,ナイスゥ,
143.981,ナイス！！,
144.426,どまー,
144.43,いい報告！,
147.198,ないすうううう,
147.472,ナイス！！,
147.965,ないす！,
148.13,ナイスゥ！,
149.397,ナイスゥ！,
149.459,スクリム最終日！がんば！,
150.128,ナイスー！！,
150,ナイスゥ,
150.368,ナイスゥ！,
150.664,ないす,
151.553,ナイワン,
151.905,ないすう,
151.952,ナイスゥ！,
152.099,ないすぅ,
152.481,ナイスゥ,
152.484,ないす！,
152.5,ないすー！！,
152.625,ナイスー！,
152.654,ナーイス,
152.901,ナイス！！,
152.947,ナイスー,
153.043,ナイスゥ！,
153.25,ナイス！,
153.344,ナイスー！！！,
153.572,ないす！！,
153.603,ないすぅ！,
153.718,ナイスゥ！,
153.831,ナイスー,
154.01,ナイス！！！,
154.032,ナイス,
154.095,うめえええ,
154.108,ないすぅ！！,
154.217,ないす,
154.235,ナイス,
154.241,ナイス！,
154.243,ナイスゥ！,
154.325,ナイス,
154.353,ナイスー！,
154.454,ナイス,
154.588,ないす,
155.057,ナイス！,
155.215,ナイスゥ！,
155.257,ナイスゥー！！,
155.645,ナイスー！,
155.662,ナイスーーー,
155.732,ないすー！,
155.802,ナイスゥ！,
155.875,ないすぅ！！！！！いい！,
156.025,ナイス,
156.471,ナイス！,
156.59,ナイス！！,
157.035,ないす,
157.072,ナイスゥ！,
157.113,ええやんええやん！,
157.294,ナイスゥ！！,
157.421,ないすないす,
157.409,ナイス！,
158.059,ないすぅ,
158.113,なあああああアイス,
158.333,ないす,
159.478,ないすぅー！,
159.52,ナイス！！！,
159.634,ナイスーーーーーーーーーーー,
160.117,なぃすー,
160.189,なーいす！！,
162.146,ないすううう,
162.871,ナイス！,
163.318,いいね,
163.944,ツイート葛葉さん,
164.128,ナイスナイス！,
164.19,おおお！,
164.369,ナイスゥ,
164.459,対よろ〜がんばれー！,
165.352,ナイスゥ,
165.429,ハンドガン取った！,
165.726,ないすー！,
166.139,ハンドガンナイス,
166.715,ncー！！！！,
167.029,まず一本！,
167.015,冷静な声掛けいいね！,
167.065,いいぞいいぞ,
167.582,ないすー,
167.979,声出しいいねーー！,
168.181,いいねーーーー！！！！,
168.546,ナイス〜！,
169.284,いいね〜,
169.501,おいす,
169.551,ええやんええやん！！！,
169.875,ないす,
170.124,いいよー,
170.188,korossssss korosss,
170.747,コールめちゃくちゃすげぇ！,
170.828,うまい,
171.355,ナイス！,
171.329,BO1ならマジである,
171.613,声がけ最高じゃない！,
171.747,ナーイス,
171.762,ナイス〜,
172.138,ハンドガンないすだぁ！,
172.147,ナイスゥ,
172.179,うわ、いい,
172.289,声出てるのよすぎる！！！,
173.229,ナイスワンピックすぎる！,
173.817,ナイス!,
173.994,ピストルとったぞー！！,
174.007,がんばれー！！,
174.396,ナイスゥ！,
175.061,おいコール量が激増やぞ,
175.787,いいよー,
175.851,〜がんばれ〜,
175.835,ないす！,
176.013,大丈夫だよ！！！いけてるいけてる！！！,
176.513,ナイス,
176.426,ええやんええやん！,
177.779,なんかキリッとしてるな！笑,
178.301,ラプ様、声出てていいね,
178.505,左下のuiなに？,
180.117,いいねー！ないす！！！,
182.672,コールの統一感が出た気がする,
185.088,頑張れ,
185.278,雰囲気良！！,
185.911,声出し最高！,
186.184,なんかめっちゃいいかんじ！,
186.555,冷静ゲーミング！！,
187.427,ディスコードの裏のあれなんなの？,
188.396,ナイスピストル,
189.517,トン兄って優秀なのか？もしかして,
190.266,かっけー！！,
190.911,てんきゅーギャル,
190.97,なんかめちゃいいよお！,
191.364,ピストル取れた〜！！,
191.782,がんばれー！,
192.455,成長してる？！,
192.763,ハンドガン取れたぞ！,
196.36,がんばれ！！,
198.456,やっぱ一戦目はいい感じやな,
200.763,長時間の練習からのこの雰囲気あまりにも最高では,
203.574,どんどんいいチームになってる！,
204.897,ハンドガン取れたね！,
206.339,ストラップかわいいなw,
206.869,対よろ,
208.218,相手チーム、アセント勝率100%だから、こっちも得意のアセントでどこまでやれるか楽しみやね,
210.056,みんなコールがスマートになってる,
212.041,なんか良くわからんけどコールかっけぇ！,
213.613,今日もファイト！,
215.615,空気美味しい,
225.04,いいよー,
227.704,応援してます！！,
229.82,声掛けが良い！,
234.554,せーのめ,
238.175,ないすぅー！,
238.436,ナイス,
239.577,対よろ,
244.431,いいぞー！,
244.561,ファイト！,
245.261,ナイス,
247.279,ナイス,
247.44,うお,
247.952,ナイス！,
248.052,うま,
248.519,ナイス！！,
248.788,ないすうううう,
249.282,！？,
249.544,ないす！,
249.883,ナイスゥ,
250.001,うま,
250.221,ナイス！！！,
250.409,ナイス,
250.478,ナイスゥ,
251.135,ないす,
251.37,ナイスー！,
251.347,ないす！！！,
251.484,ナイス！,
251.586,うま,
251.619,ん,
251.679,ナイス,
251.84,ナイス,
251.851,ナイス！,
251.857,ナイスゥ！！,
251.933,ナイス１１,
251.915,ナイスゥ～！,
251.936,ナイスー！,
251.971,わあ,
252.209,ないすー！,
252.235,ナイスゥ！,
252.259,ないす,
252.329,ナイス,
252.509,ナイス！,
253.312,ナイスゥー,
253.41,ナイスー！,
253.488,ナイス,
253.587,ナイスゥ！,
253.802,ナイスゥ,
253.839,ナイスーー！！,
253.878,ナイス,
253.891,ナイス,
253.942,ナイスゥ！！,
253.987,ナイス！,
254.078,ないす！,
254.15,ないすぅ！,
254.287,なーーーいす！！！,
254.369,えぐえいむ,
254.468,ナイス,
254.505,ナイス！,
254.984,niceee,
255.761,ナイス,
