時間,コメント
196.771,がんばろー！
196.853,がんばれ！
197.013,じゅにちさんいるやん
197.479,パワー
197.611,ん??
197.943,楽しみ！
198.206,あれｗ
198.413,あれｗ
198.555,草
198.578,関さんはゲームセンスだからな
198.964,草
200.131,対よろ
201.137,やあ
202.084,結局制限しないんだっけ？
202.097,やあ
202.468,にょっす
202.743,にょっす
202.776,草
203.456,ｶﾞﾝﾊﾞﾚｰ
204.662,にょっすw
204.818,おい葛葉静かじゃないか？？？
205.177,草
205.202,かっさんいるからって緊張すんな頑張れ
205.943,草
206.272,対よろ
206.446,にょっす
206.863,葛葉頑張れ
207.359,にょすにょすにょす
208.08,葛葉がんばれ！
208.096,がんばれくずは！
209.847,レジェンドいると緊張するな
210.807,くーちゃん静かで草
211.147,やあ
212.382,がんばれ
212.5,・
212.782,草
213.011,対よろ
213.171,お前が頼りだ！純を頼む！
216.267,ミュートになってますよ
216.728,ぼ、ど
216.978,緊張してる？
217.334,人見知り中です
217.539,です
217.536,にょっす
217.597,モデレーターさんよろしくお願いいたします
218.259,葛葉さんよろしくな
218.562,やあ
218.674,草
219.111,コーチeの方や
219.146,草
221.236,これは喋れんわw
221.337,いつも通り頑張れ
221.699,あ
222.008,草
222.533,蛆虫湧いてんなー
224.626,やあ
225.822,がんばれ！！！！！
225.901,にょっす
226.676,緊張なのか準備してるからなのか
229.066,がんばえー！
229.264,緊張してるか？笑
229.563,人見知りw
230.177,にょっす
231.579,くーちゃん大人しいねぇ
231.793,がんばれ！
232.3,どりゃ！
232.541,緊張してない？
233.017,この人が葛葉ですか?
233.152,頑張れ︎葛葉︎
233.862,にょっす
234.355,うんこちゃんキャリーすべ
234.455,草
235.217,くーちゃんがんばれ
235.64,草
235.848,なんか静かですね
235.925,マイさんって誰ですか？
236.43,にょっす
236.487,meiy3修正できるか？
236.524,静かｗ
237.173,もうあったまってる？
237.559,なんとか入れ
238.728,もっと喋ろ
240.432,コメ欄が予想通りすぎる
240.58,ボ、ドカ
240.841,人見知り出ちゃってすまにょ
241,さすがにか
242.27,緊張してそうw
242.424,頑張れ
242.816,すまん純いくわ
242.953,ww
243.69,いつ喋るんだ
244.02,がんばれ葛葉！！
244.644,やあ
245.022,ファイト
245.012,さすがに緊張するか
245.209,じゃすぱーさんと、加藤さんの音量デカめかも
245.571,がんっっばれ！！
245.572,緊張してるか
245.593,かわいいw
245.621,がんばれ
245.844,草
246.423,リラックスしてけ〜
246.45,頑張れー
246.699,葛葉静かやんw
246.79,あｗ
247.118,うおおお！！
247.795,vdk？
248.08,草
248.381,やあ
249.062,対よろ
249.827,今日は一段とコメントにぎやかだねぇ
249.92,マイさんって誰ですか？Meiyな
250.07,葛葉ミュート？
250.427,草
250.565,静かw
250.595,ww
250.833,草
251.057,ファンネル飛ばしまくりw
252.365,めいくん間違いやすいか
252.343,w
253.416,がんばえ
253.643,緊張してるやん
253.701,meiyかも
253.759,これチャット登録者モード？
253.868,やぁ
254.122,マイさんって誰ですか？Meiyな
254.837,緊張してます？
254.877,まばたき多くておもろい
254.952,おい緊張してんなあ？
256.951,葛葉「...」
258.414,がんばやで
258.465,やあ
258.697,がんばれ
258.768,コルチの名前違くね
258.842,頑張れ〜！
259.128,がんばれ〜
259.516,草
261.39,マイさんって誰ですか？Meiyな
261.513,メイくんのスペル間違っとるぞ
261.821,加藤さんいない？！
262.037,草
263.303,草
263.437,制限した方がいかも、、
263.577,人見知りかわいい
263.625,がんばれー！
263.973,対よろ
264.547,ナイス空気読み！
264.898,がんばれ
264.964,がんばれー葛葉さん
265.009,葛葉...いるか... ?
265.138,修正ナイス
267.327,がんばれーー
267.943,あ
267.995,vdk燃える
268.067,o
268.396,がんばれー
268.906,ふぁいと
269.556,めっちゃ緊張してるｗ
269.665,葛葉さんって静かな人なんですか？
269.696,なんで喋らないんだにょ
269.827,空気おいしい
270.161,頑張って
270.662,がんばれ〜！
271.028,どりゃあああ
271.034,修正よし
271.695,関さん焚き付けてる
271.758,みんな上手いやろー
272.012,コーチやね
272.753,葛葉静かで笑う
275.404,にょっす！
275.574,がんばれ
276.118,対よろ
277.065,楽しんでねー
277.417,修正ないす
277.488,人見知りしてるなw
277.703,がんばってください
277.976,がんばれ〜〜〜
278.419,こっちが緊張してきた
279.186,がんばれ葛葉
279.956,修正さんくす
280.005,Maiy→Meiy
280.039,スペルミスってるかも
280.916,うわあああああ
281.172,葛葉もモデもがんばれ！
281.634,Meiyやね
283.03,賢者タイムやろ
283.242,やああああ
283.578,修正あざっす
