投稿時間,コメント,ラベル,,,,,,,,,
528.004,それいいよなぁ,,,,,,,,,,
533.156,こん:_hii::_naa:,,,,,,,,,,
533.344,推し３人集合:double_exclamation_mark:って感じ,,,,,,,,,,
533.29,メンツ好き,,,,,,,,,,
534.245,こん:_hii::_naa:,,,,,,,,,,
534.316,珍しい構成やな,,,,,,,,,,
535.946,いいのか？,,,,,,,,,,
536.734,まさかの推しメンフルパ,,,,,,,,,,
536.889,だるさかだ最高！！,,,,,,,,,,
537.522,大好きな3人やwww,,,,,,,,,,
537.94,メンツ髪,,,,,,,,,,
538.631,こんひな！,,,,,,,,,,
539.804,なんやねんヴァンダルマって,,,,,,,,,,
539.9,こんひな,,,,,,,,,,
541.217,だるさかとやるのは楽しみです,,,,,,,,,,
541.482,こん:_hii::_naa:,,,,,,,,,,
542.71,こん:_hii::_naa:,,,,,,,,,,
544.705,こん:_hii::_naa:,,,,,,,,,,
544.621,ワットソン可愛いやつ,,,,,,,,,,
545.94,ガチャ配信やります～か？,,,,,,,,,,
547.561,まさかのだるさか！,,,,,,,,,,
550.96,だるさか珍しい,,,,,,,,,,
553.582,カッケェ,,,,,,,,,,
555.676,こんひな！,,,,,,,,,,
557.995,:_hii::_naa:,,,,,,,,,,
560.271,仮面ライダーカブト見てぇなやつね,,,,,,,,,,
561.963,だるさかとは,,,,,,,,,,
563.753,このコラボはすげえ,,,,,,,,,,
564.655,こん:_hii::_naa:,,,,,,,,,,
564.779,まじで俺得すぎるありがとうひなーの,,,,,,,,,,
567.214,こんひなー！だるさかとやるの初めて見るわ,,,,,,,,,,
569.823,最近友達が増えただるさんと最近ともだちがぜんぜん増えないあリピとコラボか！！,,,,,,,,,,
570.607,フジツボ,,,,,,,,,,
572.478,こん:_hii::_naa:,,,,,,,,,,
573.817,フジツボw,,,,,,,,,,
573.846,これ試合の中で進化するんじゃないんだよな,,,,,,,,,,
574.436,こん:_hii::_naa:,,,,,,,,,,
575.157,だるさかと！,,,,,,,,,,
576.135,こんひな,,,,,,,,,,
576.246,こん:_hii::_naa:,,,,,,,,,,
579.411,ｗｗ,,,,,,,,,,
579.749,こん:_hii::_naa:,,,,,,,,,,
580.19,こん:_hii::_naa:,,,,,,,,,,
581.187,フジツボやめーやほんとw,,,,,,,,,,
582.122,試合の中での進化じゃないよー,,,,,,,,,,
582.809,だるさがコラボめっちゃ嬉しい,,,,,,,,,,
582.926,めずらしい面子だね,,,,,,,,,,
589.451,wwwwww,,,,,,,,,,
592.204,こんひな,,,,,,,,,,
592.29,:_くさぁ:,,,,,,,,,,
594.418,だっりーｗ,,,,,,,,,,
594.595,だるさかとコラボは神,,,,,,,,,,
595.017,まさかの組み合わせ！,,,,,,,,,,
596.28,だるさか！？,,,,,,,,,,
597.523,www,,,,,,,,,,
598.987,wwww,,,,,,,,,,
599.354,こんひな,,,,,,,,,,
599.57,www,,,,,,,,,,
602.493,忙しかったんかなw,,,,,,,,,,
603.577,www,,,,,,,,,,
607.173,ゲラ2人に振り回されるありさかにの図が目に浮かぶw,,,,,,,,,,
607.707,こん:_hii::_naa:,,,,,,,,,,
607.984,メンツからもう神回確定,,,,,,,,,,
608.587,だるさか助かる,,,,,,,,,,
612.409,あー,,,,,,,,,,
613.826,wwwwwww,,,,,,,,,,
613.829,漫才コンビ,,,,,,,,,,
616.811,敬語w,,,,,,,,,,
617.241,ひなーの耐えれるかなこの2人にwww,,,,,,,,,,
618.815,ｗｗｗ,,,,,,,,,,
619.536,縦社会えぐw,,,,,,,,,,
620.49,草,,,,,,,,,,
621.484,ダメージを与えることで解放されていくスキンだから試合中に進化するわけじゃないよー,,,,,,,,,,
622.106,ぶいすぽは縦社会,,,,,,,,,,
625.147,芸人,,,,,,,,,,
627.355,縦社会きちゃwww,,,,,,,,,,
632.332,ありさかさんは振り回す側だぞ,,,,,,,,,,
632.925,大きく出たな,,,,,,,,,,
633.828,ランク縦社会だw,,,,,,,,,,
639.362,ひなーのふぁいとぉ,,,,,,,,,,
643.488,ありぴトップになったらすごすぎるw,,,,,,,,,,
649.524,ひなーのどんだけツッコミが冴えていくんだろうな,,,,,,,,,,
649.754,激熱コラボやん！！,,,,,,,,,,
652.312,こんひなー,,,,,,,,,,
652.764,www,,,,,,,,,,
652.895,煽ってんなぁw,,,,,,,,,,
653.037,www,,,,,,,,,,
653.05,ほほほほwwww,,,,,,,,,,
654.568,wwww,,,,,,,,,,
656.132,Welcome to ひななー!,,,,,,,,,,
660.313,こんひな,,,,,,,,,,
662.22,チャンピオン部隊だ,,,,,,,,,,
668.994,サムネ超かわいい,,,,,,,,,,
670.302,煽るねぇwww,,,,,,,,,,
670.992,ゴールドいうやんw,,,,,,,,,,
672.48,こん:_hii::_naa:、だるさかひなのって見えてめっちゃびっくりした,,,,,,,,,,
673.348,こん:_hii::_naa:,,,,,,,,,,
675.028,ゴールドだけど頑張ろうｗ,,,,,,,,,,
681.502,wwwwwwwww,,,,,,,,,,
682.598,www,,,,,,,,,,
682.618,珍しいコラボ,,,,,,,,,,
683.167,www,,,,,,,,,,
690.642,いいぞもっとやれwwwww,,,,,,,,,,
691.793,だるさかコラボマジ神！,,,,,,,,,,
691.928,なんでもゴールド言うじゃんww,,,,,,,,,,
693.226,こん:_hii::_naa:,,,,,,,,,,
695.138,ゴールドwww,,,,,,,,,,
730.041,おしーーー,,,,,,,,,,
733.208,あ,,,,,,,,,,
733.755,草,,,,,,,,,,
734.311,おしい:_sad:,,,,,,,,,,
735.764,ｗｗ,,,,,,,,,,
737.965,あああああwww,,,,,,,,,,
738.394,www,,,,,,,,,,
738.78,確キルはやw,,,,,,,,,,
739.158,www,,,,,,,,,,
742.193,プラチナ先輩？？？,,,,,,,,,,
742.994,ww,,,,,,,,,,
745.485,ｗｗｗ,,,,,,,,,,
745.532,www,,,,,,,,,,
750.207,www,,,,,,,,,,
751.223,www,,,,,,,,,,
753.031,www,,,,,,,,,,
753.676,カバーの速度ゴールドやなぁ,,,,,,,,,,
756.385,killポwwww,,,,,,,,,,
757.423,初手からえぐいwww,,,,,,,,,,
758.496,www,,,,,,,,,,
758.629,適正出たw,,,,,,,,,,
760.538,wwwwwwwwww,,,,,,,,,,
761.453,あっw,,,,,,,,,,
761.729,www,,,,,,,,,,
763.324,ひっでぇwww,,,,,,,,,,
763.874,ｗｗｗｗ,,,,,,,,,,
764.008,うそやんwwwwwwww,,,,,,,,,,
764.181,9 damage peacekeeper,,,,,,,,,,
766.379,こん:_hii::_naa:,,,,,,,,,,
769.88,あーあ,,,,,,,,,,
770.05,これはゴールド,,,,,,,,,,
776.245,はえーよwwww,,,,,,,,,,
777.33,ｗｗ,,,,,,,,,,
779.845,草,,,,,,,,,,
780.501,:_じーじー::_くさぁ:,,,,,,,,,,
781.879,嘘だろwwwww,,,,,,,,,,
782.076,:_じーじー:,,,,,,,,,,
782.114,www,,,,,,,,,,
782.151,ないふぁい:_じーじー:,,,,,,,,,,
782.189,NF,,,,,,,,,,
782.627,よし,,,,,,,,,,
782.694,よし,,,,,,,,,,
782.989,待ってたなぁw,,,,,,,,,,
783.287,ww,,,,,,,,,,
784.806,wwww,,,,,,,,,,
784.869,nf,,,,,,,,,,
786.417,wwww:_じーじー:,,,,,,,,,,
787.51,さすがにね,,,,,,,,,,
788.739,草,,,,,,,,,,
791.156,あぁw,,,,,,,,,,
792.032,プラチナきちーーー,,,,,,,,,,
792.271,:_じーじー:,,,,,,,,,,
792.534,:_じーじー:,,,,,,,,,,
792.887,ゴールドかぁ,,,,,,,,,,
793.069,www,,,,,,,,,,
795.654,ないふぁい:_じーじー:,,,,,,,,,,
804.431,:_じーじー:,,,,,,,,,,
806.076,珍しいメンバー,,,,,,,,,,
807.702,ないふぁい！,,,,,,,,,,
810.396,ないふぁい:_じーじー:,,,,,,,,,,
812.997,どうしてこのメンバー？,,,,,,,,,,
813.061,この面子結構疲れそう,,,,,,,,,,
816.804,マスターとプレデター二人の配信です,,,,,,,,,,
821.703,この配信笑いすぎて腹筋鍛えられそう,,,,,,,,,,
821.939,えぐw,,,,,,,,,,
823.139,こんひな,,,,,,,,,,
823.111,1時間ww,,,,,,,,,,
824.253,草,,,,,,,,,,
824.635,きっつw,,,,,,,,,,
828.825,だるまさん呪われとるやん,,,,,,,,,,
833.892,スロースターターかww,,,,,,,,,,
836.048,このメンツ嬉しすぎ！！！,,,,,,,,,,
836.466,えぐいてぇwwwwww,,,,,,,,,,
840.75,てきせいきたw,,,,,,,,,,
844.78,えぐww,,,,,,,,,,
849.084,こん:_hii::_naa:だるさかひなーの助かる,,,,,,,,,,
850.729,だるまIGL見してやw,,,,,,,,,,
856.543,ひなーの登録してなかった自分に驚いた すみません今しました。,,,,,,,,,,
859.605,まさかwwそんなことするやつおらんてwwwww,,,,,,,,,,
859.631,こん:_hii::_naa:,,,,,,,,,,
863.214,そんなマナー違反するやついる！？,,,,,,,,,,
866.142,まさかね〜:grinning_face_with_sweat:,,,,,,,,,,
868.165,天下のCRにGなんてまさかw,,,,,,,,,,
881.454,まさかね…w,,,,,,,,,,
882.153,怖いなぁw,,,,,,,,,,
884.906,まさかね,,,,,,,,,,
888.078,wwwwwwwwwwwww,,,,,,,,,,
888.535,そんなまさかwww,,,,,,,,,,
888.779,寝るｗｗｗ,,,,,,,,,,
889.064,寝るのかな,,,,,,,,,,
889.249,何が寝るんやろか,,,,,,,,,,
890.632,言ったねぇw,,,,,,,,,,
892.615,あっ,,,,,,,,,,
892.907,CRにはGがわかない,,,,,,,,,,
893.225,おやおや…？,,,,,,,,,,
894.107,誰がとは言わないけどねw,,,,,,,,,,
895.016,早いな寝るの〜,,,,,,,,,,
896.554,まっずいww,,,,,,,,,,
897.154,規則正しすぎて草,,,,,,,,,,
897.339,草,,,,,,,,,,
899.836,草,,,,,,,,,,
900.157,寝ないなこれ,,,,,,,,,,
900.299,あ,,,,,,,,,,
900.479,あーね,,,,,,,,,,
900.408,まーずいw,,,,,,,,,,
900.524,www,,,,,,,,,,
900.63,やっばいなーwww,,,,,,,,,,
900.843,草,,,,,,,,,,
901.057,あっ,,,,,,,,,,
902.815,ｯｽｩｰ,,,,,,,,,,
902.926,まっずい,,,,,,,,,,
903.234,土曜日…あっ…,,,,,,,,,,
905.063,無限列車編やんw,,,,,,,,,,
905.847,朝までコース,,,,,,,,,,
905.995,あっ…,,,,,,,,,,
906.157,まずい,,,,,,,,,,
906.529,やばいww,,,,,,,,,,
907.039,まっずい,,,,,,,,,,
907.111,つまり寝ないやん,,,,,,,,,,
907.473,草,,,,,,,,,,
908.407,実は今日土曜日でー:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,,,,,,,,,,
909.963,やめとくかー,,,,,,,,,,
910.431,:_くさぁ:,,,,,,,,,,
911.562,まっずい,,,,,,,,,,
917.777,あっ,,,,,,,,,,
920.98,ボーナスタイムってこと！？w,,,,,,,,,,
925.737,来ても返せばただのキルポってわーけ,,,,,,,,,,
926.472,初動ファイト練習だw,,,,,,,,,,
927.847,明日までお休みですねぇ！,,,,,,,,,,
937.818,鼻声とのどやばそうｗ,,,,,,,,,,
939.249,すごいんだから,,,,,,,,,,
943.459,つまり今日は延々と盛れないと、、、w,,,,,,,,,,
947.834,ガチャの音がするからなあ,,,,,,,,,,
950.583,ah my two main man is here,,,,,,,,,,
951.599,アンチ外まで引っ張られる魔力がある,,,,,,,,,,
